Sample in Buffer,Sample in Window,TRIGGER,BicubicDDRTest_i/system_ila_0/inst/probe0_1,BicubicDDRTest_i/system_ila_0/inst/probe1_1,BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tdata[31:0],BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tkeep[3:0],BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tvalid,BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tready,BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tlast,BicubicDDRTest_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],BicubicDDRTest_i/system_ila_0/inst/net_slot_1_axis_tvalid,BicubicDDRTest_i/system_ila_0/inst/net_slot_1_axis_tready,BicubicDDRTest_i/system_ila_0/inst/net_slot_1_axis_tlast,Interface_(i1:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],Interface_(i1:s1)_(BicubicResizer_0_m_axis)[2:0],T_Channel_(i1:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],T_Channel_(i1:s1)_(BicubicResizer_0_m_axis)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,BINARY,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
189,189,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
190,190,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
191,191,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
192,192,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
193,193,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
194,194,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
195,195,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
196,196,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
197,197,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
198,198,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
199,199,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
200,200,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
201,201,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
202,202,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
