B=109, G=94, R=182
B=103, G=84, R=176
B=101, G=83, R=175
B=100, G=82, R=173
B=92, G=76, R=168
B=83, G=71, R=159
B=76, G=67, R=152
B=67, G=57, R=144
B=61, G=54, R=139
B=60, G=53, R=137
B=58, G=53, R=134
B=59, G=51, R=133
B=63, G=54, R=137
B=67, G=54, R=139
B=68, G=56, R=144
B=69, G=53, R=144
B=72, G=56, R=146
B=72, G=56, R=146
B=72, G=56, R=146
B=76, G=61, R=152
B=80, G=65, R=156
B=79, G=63, R=155
B=79, G=63, R=155
B=82, G=67, R=158
B=84, G=68, R=159
B=85, G=69, R=160
B=88, G=73, R=161
B=88, G=73, R=161
B=89, G=76, R=164
B=90, G=78, R=166
B=90, G=80, R=165
B=90, G=81, R=167
B=86, G=80, R=163
B=88, G=81, R=164
B=90, G=86, R=166
B=89, G=89, R=165
B=85, G=89, R=163
B=86, G=90, R=164
B=87, G=93, R=164
B=86, G=93, R=162
B=81, G=93, R=157
B=83, G=97, R=160
B=80, G=98, R=158
B=81, G=101, R=159
B=74, G=98, R=153
B=74, G=98, R=152
B=74, G=101, R=151
B=75, G=103, R=151
B=73, G=101, R=146
B=27, G=32, R=96
B=30, G=41, R=87
B=18, G=32, R=82
B=24, G=42, R=94
B=67, G=80, R=142
B=86, G=102, R=171
B=80, G=85, R=168
B=60, G=56, R=151
B=52, G=42, R=142
B=52, G=38, R=144
B=47, G=33, R=138
B=47, G=38, R=139
B=71, G=68, R=161
B=83, G=87, R=175
B=92, G=92, R=181
B=94, G=96, R=181
B=78, G=69, R=168
B=55, G=36, R=150
B=52, G=36, R=147
B=65, G=53, R=158
B=94, G=90, R=183
B=93, G=99, R=179
B=95, G=100, R=180
B=97, G=104, R=181
B=94, G=98, R=176
B=94, G=98, R=176
B=92, G=96, R=174
B=94, G=98, R=176
B=92, G=96, R=174
B=89, G=95, R=173
B=90, G=96, R=174
B=88, G=98, R=172
B=90, G=97, R=172
B=89, G=96, R=171
B=88, G=95, R=170
B=87, G=97, R=170
B=88, G=98, R=171
B=90, G=100, R=173
B=88, G=98, R=172
B=87, G=96, R=171
B=92, G=99, R=175
B=91, G=98, R=174
B=92, G=98, R=176
B=92, G=98, R=176
B=93, G=97, R=176
B=93, G=97, R=176
B=95, G=96, R=176
B=91, G=92, R=173
B=94, G=95, R=176
B=94, G=95, R=176
B=95, G=93, R=175
B=93, G=91, R=173
